id,username,content,label,category
74,G1ng9r,"Upd 11/30/23: You are finished. Bans are given for anything, but not for CHEATS. Upd: Transferring development to another department had a great impact on the game - cheaters appeared. Which are not even particularly hidden. Reports don't usually work. I understand that this is the norm for Chinese games, but will Rito think about their reputation? Upd: now the game is also patched ONLY BY COMPLETE DATA CLEANING (yes, every micropatch, every time). In addition to the carriage and trolley, there are other juicy and delicious “pluses”.",Negative,Others
75,gerald 0986,Omg can you pls fix the loading screen I'm always stuck in 100%,Negative,Technical
76,Ghalib Andang,Log in issues,Negative,Technical
77,J Kalapatian,Mobile legends Bang Bang is way better,Negative,Others
78,jeremiah sardenia,PLSSS LUCKY PULL 1ST DRAW CRYSTAL ROSE SERAPHINE ??????????????????,Neutral,Others
79,jessie haymon,Impossibly to enjoy with the ongoing lack of champion balancing.,Negative,Gameplay
80,Jet Wu,"Your app constantly crashes on the loading screen and partial part of the problem is VPN abusing server bumpers HOWEVER your app is not functioning properly for many players. ALSO irelia is bugged when equipped with inspiration rune ""transcendance"" Her ""E"" fails to function properly due to the cool down resets. Fix at least one of these things for 4 stars both for five. For now I'm changing to one star. The app is constantly booting me out of ranked games and I have to play with a late start.",Negative,Technical
81,Josh Patrick,Avoid this game. This game is unfair and it will only piss you off. Nothing good comes out of playing this. Matchmaking is bad and the people playing this are rude and insensitive.,Negative,Gameplay
82,Juju,"Many problems, in every Riot games. Im over it.",Negative,Others
83,Lourenz Angel Francisco,I love League Riot but please fix the server connection problem I can't enjoy the game without ping spikes even tho I have stable WiFi connection . Please make our experience better and smoother,Neutral,Technical
84,Mark Harvy Garcia,I want to play I'll be try,Neutral,Others
85,muhammad fahmi,Best,Positive,Others
86,Norman Suarino,Good graphics,Positive,Graphics
87,O T,"1 star riot useless still adc main 5 times support wow and to top it all off, afk no remake gg. 2023 is ending you are still screwing wow.",Negative,Gameplay
88,Ognjen Budisa,"Game was a huge oportunity which sadly failed miserably, the intended play style for skills that work efficenlty on PC are so problematic to perfecetly execute on this mobile version. Matchmaking is totally unfair having people with different skills and huge level gaps play together or against each other which doesn't make sense. Matchmaking should be adaptable for players to play with each other in same ranks and similiar skill levels. Rito only wants u to spend money on skins. Fix this game.",Negative,Gameplay
89,Orlando Payac Jr.,The game is now stable and i love it.,Positive,Gameplay
90,Renzmark Lebico,"Gatekeeping players, okay, trash community you had. ?????",Negative,Sosial
91,Tensura KXP (Xin25TPH),Lab you<3,Positive,Others
92,Tristan Salas,ok,Neutral,Others
93,Tyu Ihya,Double rank with same mode?? I dont like push my rank in 2 place..,Negative,Gameplay
94,Yanato MLBB,can u guys go and fix the network issues detected?,Neutral,Technical
95,Yaser Mastura,This game keeps data erroring even i have 35 ms in this game,Neutral,Technical
96,Aaradhya Aarya,my favourite Pokemon is urshifu but plzz don't do Nerf urshifu urshifu needed buff,Neutral,Gameplay
97,ALICE SIMS,No wild Pokémon.,Negative,Gameplay
98,Anthonee Ponce,Great it was one of the best games ever keep up the good work champ,Positive,Gameplay
99,ANUBHAV CHATTARAJ,Good game,Positive,Gameplay
100,Apple Sauce,"I don't know if this is just my wifi or anything but recently my game in the middle of rounds has just started to lag really badly, freeze and then just kicks me out after that all in that order. Because of this I have to reopen the app and wait for 2 minutes to load back in my match which probably sucks for my teamates but In general I really like the game overall and have been playing for nearly a year and a half now but this is really annoying to deal with.",Negative,Technical
101,Arkturus,"The most PAY TO WIN moba I ever played. Aeos coins and item enhancer grinding is very very slow, you also need to grind for GACHA emblems. If you're a solo player, I really not recommended this game. Your teammates gonna steal your farm and keep farming until the end without scoring any goals and not gonna help for rayquaza, especially those CINDERACE mains. Why should i play this game when mlbb, aov, and wild rift far more balanced and less pay to win than this game?",Negative,Others
102,Aruna P,Ti game is so opopopopopand so good,Positive,Gameplay
103,Cyrus,Can you add a switch account mechanic that can switch to any another account but aside from that the game is good,Neutral,Technical
104,Debbie Grant,I got temporary banned from participating in battles for abandoning a matchmade team plz fix this pokemonn,Negative,Technical
105,Dileep Pandita,This game is so good??,Positive,Gameplay
106,John Dollar,"NEVERMIND!!, THIS GAME IS AWESOME!!,I LOVE IT!!",Positive,Others
107,Kevin S (AcousticStoner),Greed. There is no reason to do daily log ins any more.,Negative,Others
108,KUSH SINGH,This game is offline ????????????,Positive,Gameplay
109,Leema Sarkar,This app is so good and its app quality is also good this game's give me so much fun and I play it very much because I love this game and I am also a Pokemon fan so I also love this game and also love also love this game because I played all details and this gives me so much fun so thank you Pokemon unite and really I post this message because the Pokemon United game is so much better that it gives me so much fun and I really realise that it is so so thank you Pokemon unite and very very thank y,Positive,Technical
110,Lemba Khumukcham,"So while match making, I got kicked out because our team had one player missing. So the game temporarily banned me for 'abandoning player matchmaking'",Negative,Technical
111,Lucky Kumar,I love it this game,Positive,Others
112,Marion Thomas,Could use more graphics,Neutral,Graphics
113,Martina,fun :),Positive,Gameplay
114,Pinky Saha,Worst game I have ever seen please improve your rankings system there are people who get offline during a match and in solo rank section there are team player please work on your matching system please rank up those players who play well but get rank down due to poor teammates,Negative,Gameplay
115,riana mustika,Langa geem water is very exciting,Positive,Others
116,Sebastain Buckner,Fun game in concept but every time I try to play in a battle on mobile it kicks me out and keeps giving me timed bans this need to be fixed and then I'd rate 5 stars disappointed ??,Negative,Technical
117,Shameem begum,Average game,Neutral,Others
118,Sunarti korden,The game is Soo good I like it maybe you can make a update Thanks.,Positive,Technical
119,Wilbert Lianto,Sometimes i can't even get in but overall i like it,Neutral,Technical
